,0,1,2
0,Average,0.761312,AED UAE Dirham
0,"January 31, 1990",0.781105,AED UAE Dirham
0,"February 28, 1990",0.759321,AED UAE Dirham
0,"March 31, 1990",0.755618,AED UAE Dirham
0,"April 30, 1990",0.763662,AED UAE Dirham
0,"May 31, 1990",0.761055,AED UAE Dirham
0,"June 30, 1990",0.779029,AED UAE Dirham
0,"July 31, 1990",0.790762,AED UAE Dirham
0,"August 31, 1990",0.808713,AED UAE Dirham
0,"September 30, 1990",0.825116,AED UAE Dirham
0,"October 31, 1990",0.800595,AED UAE Dirham
0,"November 30, 1990",0.7729,AED UAE Dirham
0,"December 31, 1990",0.77019,AED UAE Dirham
0,"January 31, 1991",0.779295,AED UAE Dirham
0,"February 28, 1991",0.783505,AED UAE Dirham
0,"March 31, 1991",0.771067,AED UAE Dirham
0,"April 30, 1991",0.779468,AED UAE Dirham
0,"May 31, 1991",0.774268,AED UAE Dirham
0,"June 30, 1991",0.759815,AED UAE Dirham
0,"July 31, 1991",0.771559,AED UAE Dirham
0,"August 31, 1991",0.782345,AED UAE Dirham
0,"September 30, 1991",0.79369,AED UAE Dirham
0,"October 31, 1991",0.792505,AED UAE Dirham
0,"November 30, 1991",0.786595,AED UAE Dirham
0,"December 31, 1991",0.771224,AED UAE Dirham
0,"January 31, 1992",0.747557,AED UAE Dirham
0,"February 29, 1992",0.751784,AED UAE Dirham
0,"March 31, 1992",0.758645,AED UAE Dirham
0,"April 30, 1992",0.762405,AED UAE Dirham
0,"May 31, 1992",0.75587,AED UAE Dirham
0,"June 30, 1992",0.755605,AED UAE Dirham
0,"July 31, 1992",0.745065,AED UAE Dirham
0,"August 31, 1992",0.724786,AED UAE Dirham
0,"September 30, 1992",0.722548,AED UAE Dirham
0,"October 31, 1992",0.71481,AED UAE Dirham
0,"November 30, 1992",0.689837,AED UAE Dirham
0,"December 31, 1992",0.689736,AED UAE Dirham
0,"January 31, 1993",0.672974,AED UAE Dirham
0,"February 28, 1993",0.682937,AED UAE Dirham
0,"March 31, 1993",0.707752,AED UAE Dirham
0,"April 30, 1993",0.711545,AED UAE Dirham
0,"May 31, 1993",0.698585,AED UAE Dirham
0,"June 30, 1993",0.674918,AED UAE Dirham
0,"July 31, 1993",0.677876,AED UAE Dirham
0,"August 31, 1993",0.677364,AED UAE Dirham
0,"September 30, 1993",0.651667,AED UAE Dirham
0,"October 31, 1993",0.661,AED UAE Dirham
0,"November 30, 1993",0.66465,AED UAE Dirham
0,"December 31, 1993",0.673635,AED UAE Dirham
0,"January 31, 1994",0.696075,AED UAE Dirham
0,"February 28, 1994",0.716105,AED UAE Dirham
